"","rRichness","cv","varrat","AvgPlotRich","Evenness","Jaccard","Turnover","Npatches","growrt","competition","env_var","disp","patch_het","autocorr","sp_mean_synchrony","jacc.tu","jacc.ne"
"121",0.00361990950226244,0.0609545424655252,1.41433023749143,75.3376906318083,0.896688011673682,0.988237094337657,0.00384051634115189,9,0.221069908060599,0.0400885188719258,0.2418574405252,0.0361020267475396,0.18486207711976,0.133659020299092,0.402212656796841,1,0.988237094337657
"122",0.470347655909153,0.220754589022625,3.54838974020244,27.8917517420191,0.648299535456239,0.958324569171741,0.0198607097502413,121,0.0205253306776285,0.158124295179732,0.30880220226245,0.0840447074733675,0.0166823710314929,0.66193007142283,0.423730284645983,0.980187416793102,0.978137152378638
"123",0.301105939811822,0.187733178025744,1.43438695421295,56.8545751633987,0.873296778064245,0.992472342472343,0.0251385258907212,36,0.0971714364131913,0.103021380375139,0.361890918761492,0.154931666795164,0.476653907797299,0.299829907540698,0.28537785247112,0.997354497354497,0.995117845117845
"125",0.550401924872513,0.22150698674965,2.02248621822595,47.6432461873638,0.716650247121383,1,0.00839158528469469,36,0.171466727450024,0.0132711287587881,0.368979675113223,0.126161990128458,0.38894641015213,0.695107910432853,0.664893596625323,1,1
"126",0.0549909776498012,0.21126545220726,2.20098637636359,25.8441176470588,0.857071074997401,0.957840353853702,0.0153839108306639,100,0.101305985182989,0.269207545323297,0.308132381748874,0.0965208153240383,0.0777788904961199,0.117618334188592,0.38557158955029,0.986857765643083,0.970982588210619
"127",0.202002011060835,0.697900377655712,1.00488138942653,9.38834422657952,0.534629802945618,0.710363254859053,0.00551262396277577,36,0.225988924619742,0.384156340034679,0.420656587951817,0.000305493734776974,0.331644386518747,0.585785418574233,0.531626566128214,0.795771726717105,0.914591528141948
"128",0.624095022624434,0.138060477029636,1.98666695682028,34.400871459695,0.93910588812121,1,0.00489080329264729,9,0.0926304936874658,0.172475237050094,0.33484341314761,0.0552400413434952,0.412761682760902,0.242352512315847,0.550729145435028,1,1
"129",0.0179547780650722,0.0487966733234107,1.05878208880315,70.1973039215686,0.901126277392546,0.947050654082148,0.00644506770339186,64,0.186741756508127,0.0813666057074443,0.255864976614248,0.0359614646527916,0.268951233942062,0.0467686409829184,0.340316935583766,0.965150616052666,0.981900038029481
"134",0.218715224644636,0.210853895230761,2.34822822528267,37.3739215686275,0.881392119989033,0.986143138704114,0.00946215159424056,100,0.198044817894697,0.0344375818967819,0.356925752048846,0.157220717193559,0.35933726048097,0.309337090293411,0.546870128007094,0.999220251293422,0.986922887410692
"135",-0.0529009552538964,0.167154928115735,5.86757813447015,38.2244008714597,0.897358036614043,0.98062015503876,0.0096610977017896,9,0.121598050405737,0.164079061709344,0.16775280094007,0.0608221353963017,0.105098215979524,0.477332770242356,0.40279817884442,0.993540051679587,0.987080103359173
"136",0.785376131221719,0.444309022343005,2.48010275449221,42.7549019607843,0.816485793625606,0.967265839423704,0.0209885806290876,64,0.00170632777735591,0.14787918899674,0.428052667516749,0.175735172955319,0.108936095028184,0.36116238712566,0.598049921743609,0.986232645783762,0.981033193639942
"137",-0.0284439416792358,0.0465917606845582,0.98332031609556,40.7037037037037,0.904875163045779,1,0.00778331474897655,9,0.199570209719241,0.058810607297346,0.163685038080439,0.132512380927801,0.23286545497831,0.394104747043457,0.283025124643067,1,1
"138",0.324006787330317,0.233575085389736,0.775689613281701,17.5073529411765,0.894732093119194,1,0.00521933848686102,16,0.234927733428776,0.21482985059265,0.3473895644187,0.0790403163991868,0.0489280866459012,0.437931487394962,0.608809681517784,1,1
"139",0.0244355343276912,0.0210213517908914,0.664901715455261,92.9622367465505,0.890416209910784,0.92418921617502,0.00174443066559811,81,0.248038747988176,0.0402568046702072,0.118392737500835,0.00905962577089667,0.476740601472557,0.178742817370221,0.210949833016607,0.941317689425849,0.982871526749171
"140",-0.0192232277526395,0.0827865965784497,2.26942552540614,32.5208333333333,0.878457182519235,0.866879470996127,0.0067678721817528,16,0.229430288251024,0.18628169700969,0.15420268814778,0.019003597041592,0.0211883562151343,0.423265367047861,0.215282529754775,0.901634878505867,0.96524459249026
"141",0.194536577047889,0.313308244573907,6.73791698450765,50.9598311546841,0.888772048816171,0.954861718102434,0.0181588949353726,144,0.0143651757389307,0.103013428626582,0.477269537036773,0.0895740625448525,0.0922296590870246,0.271159809606615,0.420974282291328,0.974922105370067,0.979939612732368
"142",0.333088414853121,0.333675562716026,6.0387831585439,61.7249455337691,0.814123193582833,0.951782580573196,0.0299088023780335,36,0.0800497091840953,0.111084905569442,0.262331659439951,0.174618655536324,0.129684902029112,0.201076725614257,0.328917658555032,0.973945659563824,0.977836921009372
"143",0.210596681749623,0.118567730339969,4.58710295713291,55.3286274509804,0.881636732166054,0.987414066631412,0.0157569124262352,25,0.118935868900735,0.121124199358746,0.29034466202138,0.114949421072379,0.474554801010527,0.256422164908145,0.258552723800906,0.996982196368764,0.990431870262648
"144",0.0846857717445953,0.219803698885434,2.225561780175,64.8104575163399,0.844939091354816,1,0.00262277821235887,9,0.13184618006926,0.0144737582886592,0.443899667682126,0.113400565553457,0.070880907587707,0.0852587556000799,0.516339902962951,1,1
"145",0.0730757388778779,0.0459358610398674,0.985105293407227,124.943445146654,0.915034015638198,0.996428925784105,0.00662859157418205,121,0.169016932835802,0.0117400892777368,0.186640565621201,0.180474239401519,0.00785269087646157,0.374421785061713,0.379704627425308,0.999573898030558,0.996855027753548
"146",0.00457767722473605,0.0536767271466956,0.941191480318784,21.0501089324619,0.838842929842934,0.935138888888889,0.00847519253865331,9,0.0642917396035045,0.383343647001311,0.104376791848335,0.033680282952264,0.129965816857293,0.0492239651503041,0.147142334966823,0.959444444444444,0.975694444444444
"149",0.873924100032697,0.232305376401054,1.24972695981505,11.4494825708061,0.907430662007539,1,0.00454025977479112,144,0.00900847208686173,0.332669348688796,0.351413320295978,0.0651337381452322,0.18005084595643,0.00711095903534442,0.743951139369637,1,1
"150",1,0.0624766581722203,1.23119062389133,2,0.997895171633411,1,0,81,0.119700743933208,0.333332563517615,0.138269633706659,0.0852180009707809,0.120725600980222,0.427409216703381,0.34093427741467,1,1
"151",0.151187631975867,0.0742046741405206,0.630739114333145,28.5058823529412,0.872631983354996,1,0.00516584904858519,25,0.0593705717474222,0.0368500197073445,0.46765485026408,0.134982830192894,0.430627064430155,0.490142976399511,0.521086357726114,1,1
