"","rRichness","cv","varrat","AvgPlotRich","Evenness","Jaccard","Turnover","Npatches","growrt","competition","env_var","disp","patch_het","autocorr","sp_mean_synchrony","jacc.tu","jacc.ne"
"19",0.336768977628706,0.279222005488069,1.4077691247207,14.1523692810458,0.804028536322386,0.801572122412382,0.0125424147434626,144,0.0840476859593764,0.295797919970937,0.453044773940928,0.0298867493402213,0.258805212797597,0.190889154793695,0.463458581535839,0.862798857725739,0.938773264686643
"20",0.404242835595777,0.0593335028184306,0.633114618225905,22.3545098039216,0.915257744705373,1,0.00246911966460463,25,0.0854093209491111,0.224794832291082,0.177570671960711,0.0360199700575322,0.277014419902116,0.102199996006675,0.580869361457775,1,1
"21",0.453624937154349,0.178923311635064,2.11667734162852,46.4264705882353,0.843763139284971,0.972063487180839,0.0189045716798521,36,0.00287407025462016,0.140830909833312,0.17847590817837,0.0914478852413595,0.125721236574464,0.741608072596136,0.381070764617328,0.985855801266918,0.986207685913921
"23",0.0936364289305466,0.130425205344416,6.67138414193801,49.578431372549,0.883622889346317,0.992625037436358,0.00658018506899545,64,0.223585984262172,0.0564521584892645,0.274812299851328,0.0996614994946867,0.00366626144386828,0.580146602878813,0.421262341738516,0.999176400119796,0.993448637316562
"25",0.71707344476252,0.521950029780025,4.33841545337927,23.9787915166066,0.880370474334469,0.975839025126179,0.0275766627251154,49,0.194096303835977,0.217290765140206,0.492836847971193,0.138702929671854,0.108688646112569,0.507792002346832,0.562474026184968,0.995213407943823,0.980625617182357
"27",0.461811493828301,0.565058826523354,1.44155814056929,4.99279711884754,0.797512690117511,0.925170068027211,0.00550401978973408,49,0.0963330891099758,0.323620422044769,0.493645490403287,0.16852441127412,0.335736492648721,0.577092151448596,0.859389572759804,1,0.925170068027211
"28",0.161496675593314,0.225819739590065,0.862886445703983,13.8975590236094,0.742651795869998,0.942099061846961,0.0109395281648819,49,0.198807408916764,0.300194806302898,0.428868883207906,0.051302602654323,0.115544011350721,0.568499461223837,0.438491412851146,0.978280200969277,0.963818860877684
"29",0.295149572649573,0.532716496832604,1.65975207094262,11.8541666666667,0.898627728478796,0.970695970695971,0.00341879705439488,64,0.0696742487489246,0.214430501218885,0.439038888458163,0.0276270020753145,0.0749580811243504,0.323149529169314,0.889784640627119,1,0.970695970695971
"30",0.721673230545779,0.192309306287137,5.48447744935207,67.4260469619947,0.884975398717856,0.930473854407651,0.0122502846751294,81,0.0860046195448376,0.1079754200764,0.163851680268999,0.057108366722241,0.394591817865148,0.413776561093982,0.365287224987366,0.955977562210281,0.974496292197369
"32",0.785806184012066,0.275756201368729,0.595517163608709,11.9583333333333,0.762691350805139,1,0.00130434782608696,16,0.0754305012524128,0.244078853400424,0.312635189271532,0.107637025695294,0.385703700128943,0.0975678189424798,0.660627953745601,1,1
