"","rRichness","cv","varrat","AvgPlotRich","Evenness","Jaccard","Turnover","Npatches","growrt","competition","env_var","disp","patch_het","autocorr","sp_mean_synchrony","jacc.tu","jacc.ne"
"106",0.781644645550528,0.296239329061424,6.48613616293383,52.7411764705882,0.847513824102828,0.868087611628648,0.0119933475681828,25,0.231141241907608,0.0911224376759492,0.469384137890302,0.0262326467549428,0.178903978900053,0.460292585659772,0.519923920185599,0.895916885549935,0.972170726078713
"107",0.442027939380881,0.125458797760146,0.924979561856039,11.9136029411765,0.942714716194866,1,0.000421195652173913,64,0.0805488135083579,0.210877219447866,0.124886821187101,0.0099530762527138,0.0985102072590962,0.744546432222705,0.767750770867802,1,1
"108",0.386877981962016,0.45011050249215,2.86424568035788,49.890356142457,0.832065277815171,0.906192569790669,0.00961379543365927,49,0.0184889564989135,0.117621478450019,0.22798180981772,0.0181273833615705,0.296508086379617,0.458544247958343,0.4936541015746,0.933638813275643,0.972553756515027
"110",0.00395374560080442,0.0196241700139261,0.608721847488097,72.3839264100702,0.903954574918694,0.9565487455253,0.00778304893336012,81,0.145725784590468,0.101186441606842,0.0559140934958123,0.0434949573595077,0.355138126062229,0.568971697124653,0.164735079856837,0.972159794726955,0.984388950798346
"113",-0.00185746606334842,0.0266564464488886,2.08609695623948,81.1127450980392,0.881285087046034,0.967370453132462,0.00380889460420624,16,0.191685015219264,0.0459421666455455,0.0653822528664023,0.0329258835874498,0.226895856321789,0.407252766250167,0.119946932243192,0.978672985520487,0.988697467611975
"117",1,0.0195458696834032,0.224045058066461,15,0.943777017618861,1,0,9,0.0139310653903522,0.254047244496178,0.0913616116973572,0.0355742670828477,0.226153606199659,0.0870440629078075,0.327848667672197,1,1
"118",0.176097823744883,0.120587510065301,1.18523235623751,24.7641612200436,0.886386441054279,0.975627492376261,0.014532763454796,36,0.176081894896924,0.176362080266699,0.439502223196905,0.0744213201338425,0.417727868305519,0.190780036908109,0.454060159998386,0.994397529126593,0.981229963249668
"119",0.138432119665151,0.221095668004128,0.929677187261978,7.68790849673203,0.800583203031316,0.964009755676422,0.00773550469138704,144,0.150293213082477,0.4286175922025,0.241189263493288,0.0403308441163972,0.0887643948663026,0.576694392424542,0.682093657574898,1,0.964009755676422
"120",0.183227752639517,0.256238229594075,3.26363677241232,48.0326797385621,0.882343668645877,0.860394002707246,0.00704350071512518,36,0.223931528511457,0.0875965256709605,0.474872336094268,0.015411000396125,0.367938556126319,0.0122303216485307,0.447605919842464,0.891332564090228,0.969061438617018
"121",0.0416229260935143,0.258864783205434,2.43475885050715,15.4558823529412,0.939749581996377,1,0.00826480673957732,16,0.017711193067953,0.455492329085246,0.259205147530884,0.0373922053491697,0.202141835005023,0.560627283761278,0.378796113920681,1,1
"123",0.0209760940417049,0.0533829732758784,0.823027550420161,48.7726034858388,0.862838878235336,0.987383252532019,0.00828573924351218,144,0.203438683529384,0.154859539645258,0.183680024091154,0.0854298617457971,0.151582549908198,0.152171180234291,0.357484482982282,0.998577025699667,0.988806226832352
"124",0.554878582202112,0.38067447885301,1.03067171807548,7.70220588235294,0.768357177606929,0.976666666666667,0.0208797270196264,16,0.128850029781461,0.592794435680844,0.411471605312545,0.0713196221040562,0.438683070475236,0.458918169199023,0.564147980559745,1,0.976666666666667
"127",0.301231523378582,0.318731071817331,1.45750392653067,4.58946078431373,0.910624794262972,1,0.00333333333333333,16,0.12938375986414,0.513146619661711,0.311647917376831,0.0515936034033075,0.427529186708853,0.178868707094807,0.604705128205128,1,1
"129",0.162882962939524,0.017407058234057,0.502241224884459,8.2859477124183,0.846837454514878,0.957275748942416,0.00166108387799564,144,0.0294289119192399,0.515850984491408,0.0508463009609841,0.0215853536035866,0.493673578486778,0.0751304294681177,0.0800595713123214,1,0.957275748942416
"130",0.0298183311786253,0.059674006957071,0.694490172313751,35.5946691176471,0.83967405468033,0.984780996294154,0.00995549879894339,64,0.146498229703866,0.220238005102146,0.0726700537488796,0.0964863172732294,0.203861069283448,0.611508358852006,0.213471631488139,0.998728123728124,0.98605287256603
"132",0.368930618401207,0.16283899745546,1.10685912064511,50.6188725490196,0.794366015863995,0.944217062023117,0.0136322153244988,16,0.0668916890863329,0.125847708724905,0.307267932291143,0.0472415106836706,0.128957535373047,0.238898358133156,0.336371782274578,0.967654341933084,0.976562720090033
"133",0.0723097592313278,0.0340917083639743,0.536682200279963,9.49503752118131,0.815624108701514,0.888434966953485,0.00113157500383736,81,0.0854498164844699,0.462342266924679,0.0733867088798434,0.00602704284247011,0.0478426822228357,0.159252085082699,0.226739755800848,0.977949245541838,0.910485721411647
"134",0.397454862856824,0.158163139438313,2.10554424412556,56.1229726458485,0.891501936821975,0.947370123248032,0.00814090776559061,81,0.131927797279786,0.0909540897700936,0.218269978568424,0.0247834557667375,0.131886293529533,0.68174852617085,0.436151476925339,0.970129959714966,0.977240163533066
"135",0.19871988083218,0.42951023357116,2.56106507177405,19.7079889807163,0.859202377749583,0.91467925928323,0.0183670168391743,121,0.0729438355192542,0.266366462339647,0.401677240710706,0.0446297491202131,0.477379598887637,0.594990135286935,0.494434953977022,0.953803241651726,0.960876017631504
"137",0.460644042232277,0.142617827337293,3.1150588441043,56.5372549019608,0.899523698412273,0.975305034349295,0.0159205552377894,25,0.138244267378468,0.108296222810168,0.163670462160371,0.0812424111878499,0.084665855858475,0.73740732728038,0.262227813477378,0.985173867159591,0.990131167189704
"139",0.321958943833944,0.462385398952758,1.63244375815917,8.24111519607843,0.686401878565486,0.869042011229511,0.0189804343083574,64,0.244777866872028,0.45209364668699,0.400259721535258,0.0316073113121092,0.199626065441407,0.590021165844519,0.510693699667327,0.962244716262573,0.906797294966938
"140",0.294386425339366,0.263094020768507,1.11712440379321,31.6101960784314,0.852670086835918,1,0.00804973074430242,25,0.111514762393199,0.0879297260544263,0.405592137458734,0.0694763027597219,0.293639941723086,0.099649298877921,0.525079251176547,1,1
"141",0.989530542986425,0.330491333368335,0.811279736029933,3.99908088235294,0.765774687387576,1,8.92857142857143e-05,64,0.152793389279395,0.233298849198036,0.390120962343644,0.0660450682742521,0.166041596094146,0.748278004699387,0.939727238651871,1,1
"143",0.175253795589788,0.202053716491902,0.68704167363263,11.9154411764706,0.77058830914491,0.905864984882842,0.0155150259857522,64,0.208113303000573,0.467396655119956,0.308998715353664,0.0513655594317243,0.4829483081121,0.486121942754835,0.282302544396503,0.960296201814059,0.945568783068783
"144",1,0.12298659112536,1.35831271629137,2,0.993031471838004,1,0,49,0.113228399539366,0.378093192237429,0.21342489393428,0.0629674146184698,0.363968541380018,0.350595066847745,0.737116846738695,1,1
"146",0.294691645889125,0.516086386598573,4.27108441191919,18.1212484993998,0.862635046743485,0.975946562835661,0.003422308471098,49,0.124777848599479,0.180124523467384,0.265290995861869,0.0285210086265579,0.261901195743121,0.615003873361275,0.665388149763428,0.999820981023989,0.976125581811672
"147",0.13215334349229,0.231958811723529,0.499293310418801,5.93052529653837,0.798560912408099,1,0.00217732884399551,81,0.195644236984663,0.243192608642858,0.256831311562564,0.0777248389786109,0.352810309850611,0.0239996686577797,0.835715237481297,1,1
"148",0.0201713762428048,0.0583615190019929,1.11410128252245,63.4977991196479,0.898198425549025,0.935905029852744,0.00210446300487939,49,0.229510059347376,0.0313324598246254,0.256027231086046,0.013824983406812,0.408417528378777,0.435081511095632,0.451978143149795,0.963150619417509,0.972754410435235
"149",0.57326395173454,0.220069111420585,1.19172510766741,35.5404411764706,0.878963052499736,0.994017094017094,0.00791023552264728,16,0.0390280701685697,0.128607199061662,0.455137507698964,0.0708160100970417,0.199693593312986,0.565770481014624,0.604291741584528,1,0.994017094017094
"157",0.431874363544952,0.11660545825435,0.316113812083712,4.16196078431373,0.64533317570013,1,0.0121388888888889,100,0.161401834979188,0.324381543905474,0.282631178852171,0.050784454238601,0.467883983859792,0.573641518712975,0.583629670219126,1,1
"158",0.358160180995475,0.352286849872883,1.09601020722951,2.68627450980392,0.470766641028625,1,0.00768,25,0.0655575953423977,0.725171708792914,0.367191173322499,0.0508045087801293,0.399498148006387,0.596769884519745,0.808190548014077,1,1
"161",0.263673693074146,0.214690401834457,1.48272583798704,19.541802832244,0.866349157626254,0.936477840600062,0.0118293375391038,144,0.19823503511725,0.249391234014183,0.315316326974425,0.036011289129965,0.290836261352524,0.518246293533593,0.48815501406545,0.97640766926226,0.960070171337802
